Trading Pair,Price,Market Cap,24h Volume,Cap Size,Total Profit (%),Absolute Profit ($),Market Change (%),Total Trades,Wins,Losses,Draws,Win Rate (%),Max Drawdown (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Profit Factor,Expectancy ($),CAGR (%),Avg Hold Time,Final Balance
FIS/USDT,0.12614,$19.53M,$16.82M,Micro-Cap,-13.13,-131.292,-82.04,11,9,2,0,81.82,24.91,-0.169,-0.11,-5.625,0.538,-11.936,-24.95,1:30:00,868.708
WIF/USDT,0.933092,$932.38M,$190.41M,Small-Cap,-13.92,-139.21,-53.98,13,10,3,0,76.92,24.9,-0.205,-0.128,-5.968,0.507,-10.708,-26.34,1:57:00,860.79
NIL/USDT,0.320324,$62.52M,$11.89M,Micro-Cap,-19.16,-191.559,-56.4,14,9,5,0,64.29,27.38,-0.521,-0.364,-13.778,0.382,-13.683,-55.07,4:40:00,808.441
NXPC/USDT,0.720495,$0.00,$33.26M,Micro-Cap,-19.55,-195.529,-74.87,6,4,2,0,66.67,24.92,-0.829,-0.65,-33.31,0.236,-32.588,-82.88,1:31:00,804.471
SAHARA/USDT,0.091965,$203.34M,$28.58M,Small-Cap,-20.58,-205.833,-14.87,5,4,1,0,80.0,24.92,-12.576,-100.0,-526.077,0.174,-41.167,-100.0,3:14:00,794.167
XRP/USDT,3.04,$181.10B,$4.58B,Large-Cap,-20.74,-207.404,4.73,4,3,1,0,75.0,24.92,-0.184,-100.0,-8.884,0.198,-51.851,-37.75,0:40:00,792.596
BONK/USDT,2.481e-05,$1.92B,$343.85M,Mid-Cap,-21.3,-213.049,-50.77,10,6,4,0,60.0,24.9,-0.29,-0.225,-9.131,0.302,-21.305,-38.65,18:00:00,786.951
ALT/USDT,0.03432639,$145.23M,$19.16M,Small-Cap,-23.1,-230.987,-74.96,4,2,2,0,50.0,24.92,-0.215,-0.199,-9.892,0.121,-57.747,-41.47,6:48:00,769.013
COMP/USDT,45.18,$427.32M,$32.60M,Small-Cap,-23.61,-236.068,-36.79,3,2,1,0,66.67,24.92,-0.207,-100.0,-10.11,0.06,-78.689,-42.25,"1 day, 22:53:00",763.932
ZRX/USDT,0.27491,$232.96M,$21.50M,Small-Cap,-24.9,-248.966,-50.91,1,0,1,0,0.0,0.0,-100.0,-100.0,-100.0,0.0,-248.966,-44.22,"9 days, 14:35:00",751.034
S/USDT,0.307382,$1.16B,$100.59M,Mid-Cap,-27.02,-270.184,-58.86,5,2,3,0,40.0,27.73,-0.318,-0.281,-11.351,0.035,-54.037,-50.39,5:36:00,729.816
PEOPLE/USDT,0.02154423,$109.26M,$31.27M,Small-Cap,-27.53,-275.303,-59.57,19,11,8,0,57.89,30.78,-0.489,-0.373,-9.548,0.3,-14.49,-48.14,7:41:00,724.697
LPT/USDT,7.03,$312.15M,$19.60M,Small-Cap,-29.39,-293.925,-55.87,15,11,4,0,73.33,44.52,-0.304,-0.26,-7.047,0.517,-19.595,-50.82,6:17:00,706.075
PNUT/USDT,0.251245,$251.36M,$77.49M,Small-Cap,-31.21,-312.052,-66.46,33,21,12,0,63.64,41.12,-0.589,-0.427,-8.1,0.482,-9.456,-53.36,4:20:00,687.948
KERNEL/USDT,0.198049,$44.09M,$12.43M,Micro-Cap,-32.17,-321.737,-69.35,15,11,4,0,73.33,41.89,-0.977,-0.714,-19.309,0.314,-21.449,-84.5,10:39:00,678.263
PARTI/USDT,0.181314,$42.25M,$15.34M,Micro-Cap,-33.8,-338.05,-40.82,16,11,5,0,68.75,42.8,-0.741,-0.595,-15.718,0.415,-21.128,-79.17,"1 day, 16:42:00",661.95
PENGU/USDT,0.03488691,$2.19B,$299.85M,Mid-Cap,-34.92,-349.241,-59.56,18,12,6,0,66.67,41.3,-0.449,-0.341,-9.026,0.381,-19.402,-58.36,12:31:00,650.759
BMT/USDT,0.074086,$18.93M,$32.72M,Micro-Cap,-36.27,-362.712,-45.23,23,16,7,0,69.57,40.03,-1.008,-0.694,-16.808,0.31,-15.77,-79.74,3:07:00,637.288
AIXBT/USDT,0.119295,$117.03M,$23.20M,Small-Cap,-38.16,-381.582,-73.85,37,23,14,0,62.16,45.07,-0.816,-0.608,-9.514,0.415,-10.313,-64.37,7:51:00,618.418
BERA/USDT,2.42,$304.23M,$51.59M,Small-Cap,-40.39,-403.883,-86.03,12,7,5,0,58.33,40.45,-0.621,-0.521,-13.34,0.182,-33.657,-73.3,1:05:00,596.117
TUT/USDT,0.068929,$57.75M,$6.79M,Micro-Cap,-46.1,-461.005,35.34,23,15,8,0,65.22,52.58,-1.198,-0.91,-17.821,0.333,-20.044,-90.93,7:12:00,538.995
LAYER/USDT,0.552859,$116.02M,$14.95M,Small-Cap,-62.07,-620.721,-20.51,22,12,10,0,54.55,68.1,-0.975,-0.851,-12.618,0.286,-28.215,-92.3,5:38:00,379.279
