Trading Pair,Price,Market Cap,24h Volume,Cap Size,Total Profit (%),Absolute Profit ($),Market Change (%),Total Trades,Wins,Losses,Draws,Win Rate (%),Max Drawdown (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Profit Factor,Expectancy ($),CAGR (%),Avg Hold Time,Final Balance
NEAR/USDT,2.71,$3.39B,$135.57M,Mid-Cap,3.53,35.279,-54.14,1,1,0,0,100.0,0.0,-100.0,-100.0,-100.0,0.0,35.279,7.33,0:05:00,1035.279
ICP/USDT,4.86,$2.62B,$49.53M,Mid-Cap,3.48,34.756,-49.02,1,1,0,0,100.0,0.0,-100.0,-100.0,-100.0,0.0,34.756,7.22,0:05:00,1034.756
ROSE/USDT,0.02955057,$219.06M,$19.48M,Small-Cap,3.47,34.678,-67.39,3,3,0,0,100.0,0.0,0.888,-100.0,-100.0,0.0,11.559,7.2,0:30:00,1034.678
MAV/USDT,0.075177,$51.66M,$31.95M,Micro-Cap,3.46,34.643,-76.15,1,1,0,0,100.0,0.0,-100.0,-100.0,-100.0,0.0,34.643,7.19,0:15:00,1034.643
IMX/USDT,0.650055,$1.26B,$44.04M,Mid-Cap,3.28,32.777,-62.73,3,3,0,0,100.0,0.0,0.409,-100.0,-100.0,0.0,10.926,6.8,1:18:00,1032.777
UNI/USDT,9.43,$5.66B,$583.89M,Mid-Cap,3.24,32.39,-44.39,1,1,0,0,100.0,0.0,-100.0,-100.0,-100.0,0.0,32.39,6.72,0:05:00,1032.39
ARB/USDT,0.517002,$2.74B,$283.38M,Mid-Cap,3.08,30.85,-49.46,1,1,0,0,100.0,0.0,-100.0,-100.0,-100.0,0.0,30.85,6.39,0:10:00,1030.85
ENS/USDT,23.81,$790.15M,$57.47M,Small-Cap,3.04,30.448,-41.73,1,1,0,0,100.0,0.0,-100.0,-100.0,-100.0,0.0,30.448,6.31,0:10:00,1030.448
DOT/USDT,4.34,$6.61B,$271.19M,Mid-Cap,2.99,29.876,-46.97,1,1,0,0,100.0,0.0,-100.0,-100.0,-100.0,0.0,29.876,6.19,0:10:00,1029.876
BCH/USDT,594.51,$11.85B,$333.64M,Large-Cap,2.95,29.544,14.89,1,1,0,0,100.0,0.0,-100.0,-100.0,-100.0,0.0,29.544,6.12,0:10:00,1029.544
RENDER/USDT,3.9,$2.02B,$63.65M,Mid-Cap,2.85,28.507,-50.35,1,1,0,0,100.0,0.0,-100.0,-100.0,-100.0,0.0,28.507,5.9,0:15:00,1028.507
ACE/USDT,0.678234,$50.85M,$109.75M,Micro-Cap,2.8,28.019,-74.08,2,2,0,0,100.0,0.0,0.342,-100.0,-100.0,0.0,14.009,5.8,1:20:00,1028.019
ALGO/USDT,0.240975,$2.11B,$94.50M,Mid-Cap,2.44,24.374,-45.08,2,2,0,0,100.0,0.0,0.847,-100.0,-100.0,0.0,12.187,5.03,0:25:00,1024.374
BB/USDT,0.157725,$64.40M,$21.85M,Micro-Cap,2.39,23.946,-79.79,2,2,0,0,100.0,0.0,0.689,-100.0,-100.0,0.0,11.973,4.94,0:32:00,1023.946
PYTH/USDT,0.167167,$961.12M,$76.48M,Small-Cap,2.38,23.821,-68.68,2,2,0,0,100.0,0.0,0.348,-100.0,-100.0,0.0,11.91,4.92,0:48:00,1023.821
RESOLV/USDT,0.157249,$45.29M,$13.31M,Micro-Cap,2.35,23.546,-58.91,5,3,2,0,60.0,2.96,0.958,2.981,84.554,1.538,4.709,60.31,1:32:00,1023.546
ZK/USDT,0.05997,$433.54M,$13.74M,Small-Cap,2.33,23.321,-72.66,2,2,0,0,100.0,0.0,1.499,-100.0,-100.0,0.0,11.66,4.81,0:45:00,1023.321
WLD/USDT,1.6,$3.24B,$775.15M,Mid-Cap,2.31,23.144,-55.72,7,5,2,0,71.43,2.71,0.144,0.28,9.13,1.615,3.306,4.78,1:38:00,1023.144
ZRO/USDT,2.0,$221.99M,$29.32M,Small-Cap,2.25,22.534,-60.32,3,2,1,0,66.67,1.09,0.129,-100.0,22.039,2.997,7.511,4.65,1:05:00,1022.534
AVAX/USDT,29.65,$12.52B,$892.88M,Large-Cap,2.18,21.762,-47.63,1,1,0,0,100.0,0.0,-100.0,-100.0,-100.0,0.0,21.762,4.49,0:15:00,1021.762
HFT/USDT,0.091561,$55.16M,$14.38M,Micro-Cap,1.84,18.442,-65.59,1,1,0,0,100.0,0.0,-100.0,-100.0,-100.0,0.0,18.442,3.8,0:20:00,1018.442
KAVA/USDT,0.360759,$390.52M,$15.47M,Small-Cap,1.44,14.428,-9.38,1,1,0,0,100.0,0.0,-100.0,-100.0,-100.0,0.0,14.428,2.96,0:30:00,1014.428
APT/USDT,4.54,$3.18B,$539.10M,Mid-Cap,1.41,14.127,-43.34,1,1,0,0,100.0,0.0,-100.0,-100.0,-100.0,0.0,14.127,2.9,2:25:00,1014.127
OP/USDT,0.788579,$1.40B,$147.76M,Mid-Cap,1.24,12.418,-65.75,1,1,0,0,100.0,0.0,-100.0,-100.0,-100.0,0.0,12.418,2.55,0:35:00,1012.418
XTZ/USDT,0.769565,$814.28M,$29.10M,Small-Cap,1.02,10.163,-57.28,1,1,0,0,100.0,0.0,-100.0,-100.0,-100.0,0.0,10.163,2.08,0:20:00,1010.163
VIRTUAL/USDT,1.27,$834.26M,$106.73M,Small-Cap,0.89,8.938,209.42,5,3,2,0,60.0,0.7,0.277,16.14,30.754,1.648,1.788,4.2,1:21:00,1008.938
KAIA/USDT,0.157554,$923.47M,$22.68M,Small-Cap,0.85,8.494,-15.43,2,2,0,0,100.0,0.0,0.38,-100.0,-100.0,0.0,4.247,1.74,1:42:00,1008.494
QTUM/USDT,2.51,$265.98M,$27.15M,Small-Cap,0.74,7.396,-33.0,4,2,2,0,50.0,2.0,0.035,1.462,3.95,1.19,1.849,1.51,5:38:00,1007.396
HBAR/USDT,0.240266,$10.18B,$213.60M,Large-Cap,0.73,7.306,-43.3,1,1,0,0,100.0,0.0,-100.0,-100.0,-100.0,0.0,7.306,1.5,0:30:00,1007.306
INJ/USDT,14.14,$1.38B,$90.17M,Mid-Cap,0.71,7.086,-41.97,1,1,0,0,100.0,0.0,-100.0,-100.0,-100.0,0.0,7.086,1.45,0:40:00,1007.086
KMNO/USDT,0.064685,$180.68M,$22.95M,Small-Cap,0.71,7.146,-18.39,5,3,2,0,60.0,2.69,0.161,0.509,9.403,1.264,1.429,4.93,12:37:00,1007.146
CFX/USDT,0.176136,$904.92M,$57.43M,Small-Cap,0.53,5.318,-51.3,3,1,2,0,33.33,0.71,0.046,3.058,7.97,1.378,1.773,1.09,1:35:00,1005.318
ATOM/USDT,4.66,$2.18B,$86.50M,Mid-Cap,0.42,4.157,-32.38,1,1,0,0,100.0,0.0,-100.0,-100.0,-100.0,0.0,4.157,0.85,0:30:00,1004.157
KSM/USDT,15.91,$270.75M,$16.51M,Small-Cap,0.32,3.216,-58.47,1,1,0,0,100.0,0.0,-100.0,-100.0,-100.0,0.0,3.216,0.66,0:40:00,1003.216
SUI/USDT,3.71,$13.22B,$1.09B,Large-Cap,0.23,2.344,-30.38,3,1,2,0,33.33,2.28,0.014,0.049,1.099,1.1,0.781,0.48,1:52:00,1002.344
TRX/USDT,0.348327,$32.96B,$557.25M,Large-Cap,0.0,0.0,8.41,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:00,1000.0
POL/USDT,0.27315,$2.87B,$102.89M,Mid-Cap,0.0,0.0,-59.48,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:00,1000.0
WBTC/USDT,115704.0,$14.72B,$110.35M,Large-Cap,0.0,0.0,15.45,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:00,1000.0
LINK/USDT,24.24,$16.43B,$700.49M,Large-Cap,0.0,0.0,-31.64,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:00,1000.0
AXS/USDT,2.54,$424.66M,$54.61M,Small-Cap,0.0,0.0,-62.72,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:00,1000.0
A/USDT,0.483032,$768.44M,$65.61M,Small-Cap,0.0,0.0,-33.55,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:00,1000.0
AAVE/USDT,309.35,$4.71B,$310.23M,Mid-Cap,0.0,0.0,-10.82,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:00,1000.0
